city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,bin_temp_c,alpha_score,kelly,ev_per_dollar,group_key,forecast_floor,forecast_ceiling,temp_lo_c,temp_hi_c,model_prob_side,shrink_weight,bucket,live_eligible
Chicago,chicago,0xdc5b98a04a5336166805bfb299fa75e3092c2d2b75f61314cd7cea31660c7954,Will the highest temperature in Chicago be between 62-63°F on March 20?,2026-03-20,2026-03-17 23:11:25.584118+00:00,2.03,19.3,1.809,6.5,0.209,nwp_table,0.088,0.16,0.16,0.072,0.072,No,0.912,0.84,0.0,0.0,0.0,0.0,0.969,0.0,0.0,False,,0.84,1445.5233,949.7203780000002,0,16.944444444444443,2.36,16.944444444444443,0.02042,0.08,0.0857,chicago|2026-03-20,,,16.667,17.222,0.912,1.0,Chicago|2d+,False
Chicago,chicago,0x3478961cbf23847638cacdde7406b4cbea14da83ca8b68dae420e993c3b44ed9,Will the highest temperature in Chicago be between 50-51°F on March 19?,2026-03-19,2026-03-17 23:11:25.584217+00:00,1.03,9.8,1.2,8.0,0.0,nwp_table,0.3543,0.225,0.225,0.1293,0.1293,Yes,0.3543,0.225,0.0,0.0,0.0,0.0,0.915,0.0,0.0,False,,0.6975,1499.5902,841.2329680000003,0,10.277777777777779,-0.48,10.277777777777779,0.060923,0.08,0.5748,chicago|2026-03-19,,,10.0,10.556,0.3543,1.0,Chicago|1d,False
Chicago,chicago,0x3478961cbf23847638cacdde7406b4cbea14da83ca8b68dae420e993c3b44ed9,Will the highest temperature in Chicago be between 50-51°F on March 19?,2026-03-19,2026-03-17 23:21:40.664506+00:00,1.03,9.8,1.2,8.0,0.0,nwp_table,0.3543,0.2,0.2,0.1543,0.1543,Yes,0.3543,0.2,0.0,0.0,0.0,0.0,0.915,-0.025,0.0,False,,0.7295,1505.9539,841.2329680000003,0,10.277777777777779,-0.48,10.277777777777779,0.072742,0.08,0.7716,chicago|2026-03-19,,,10.0,10.556,0.3543,1.0,Chicago|1d,False
Chicago,chicago,0xe4c5335bb54274a49204880da50bf1b75a2b05b36a87c6b8dd7c96a833644b3f,Will the highest temperature in Chicago be between 72-73°F on March 22?,2026-03-22,2026-03-18 18:03:06.717443+00:00,3.25,23.0,2.391,5.5,0.391,nwp_table,0.2102,0.03,0.03,0.1802,0.1802,Yes,0.2102,0.03,2.225,8.9,0.0,23.763,1.0,0.0,0.0,False,0.0,0.97,1633.77758,866.227602,0,22.5,0.5,22.5,0.029417,0.08,6.008,chicago|2026-03-22,,,22.222,22.778,0.2102,1.0,Chicago|2d+,False
Chicago,chicago,0xbbbd4b93f74ef52aed3a06c4727423ce293e745876f027d73a16b3f18168e46e,Will the highest temperature in Chicago be between 66-67°F on March 21?,2026-03-21,2026-03-19 07:20:07.130936+00:00,1.69,16.8,1.806,6.5,0.206,nwp_table,0.087,0.205,0.205,0.118,0.118,No,0.913,0.795,0.7,0.4,0.0,2.72,0.81,0.0,0.0,False,,0.795,1017.5271,736.1346239999998,0,19.166666666666664,-2.37,19.166666666666664,0.026903,0.08,0.1484,chicago|2026-03-21,,,18.889,19.444,0.913,1.0,Chicago|2d+,False
Chicago,chicago,0x650119355abedad852e192af9d1a4076d4fe7eb71fb87fe3ea97391810fe1e52,Will the highest temperature in Chicago be between 70-71°F on March 21?,2026-03-21,2026-03-19 12:03:02.016031+00:00,1.5,16.3,1.403,8.0,0.203,nwp_table,0.0021,0.135,0.135,0.1329,0.1329,No,0.9979,0.865,0.1,-0.1,-0.5,2.3927,0.591,0.0,0.0,False,,0.865,1412.87,425.154199,0,21.38888888888889,-5.09,21.38888888888889,0.040185,0.08,0.1537,chicago|2026-03-21,,,21.111,21.667,0.9979,1.0,Chicago|1d,False
Chicago,chicago,0x650119355abedad852e192af9d1a4076d4fe7eb71fb87fe3ea97391810fe1e52,Will the highest temperature in Chicago be between 70-71°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,17.3,1.425,8.0,0.225,nwp_table,0.0078,0.12,0.12,0.1122,0.1122,No,0.9922,0.88,0.55,0.9,1.0,2.3825,0.605,-0.015,6.01,True,,0.795,1395.414,509.709596,0,21.38888888888889,-4.09,21.38888888888889,0.032949,0.08,0.1275,chicago|2026-03-21,,,21.111,21.667,0.9922,1.0,Chicago|1d,False
Chicago,chicago,0x99269874752dedb9099f4b1b40f87655786d900add0b635d4f770c02e4dd0a59,Will the highest temperature in Chicago be between 72-73°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,17.3,1.425,8.0,0.225,nwp_table,0.002,0.085,0.085,0.083,0.083,No,0.998,0.915,0.55,0.9,1.0,2.3825,0.695,0.0,0.0,False,,0.795,1640.3958,549.315383,0,21.38888888888889,-4.09,22.5,0.02927,0.08,0.0908,chicago|2026-03-21,,,22.222,22.778,0.998,1.0,Chicago|1d,False
Chicago,chicago,0x7a9200694c876ec3579d4b096c4a4167a424e92dc1d176bcc3c4e28093a6709d,Will the highest temperature in Chicago be 35°F or below on March 23?,2026-03-23,2026-03-20 06:03:03.140438+00:00,2.75,3.0,2.0,5.5,0.0,nwp_table,0.2675,0.025,0.025,0.2425,0.2425,Yes,0.2675,0.025,-0.4906,1.3,-1.0,2.9446,1.0,0.0,0.0,False,0.0,0.0,1043.14619,992.776645,0,3.0,0.0,1.6666666666666667,0.036223,0.08,9.6988,chicago|2026-03-23,,,,,0.2675,1.0,Chicago|2d+,False
Chicago,chicago,0x2ea87293c60b65bcb689674be89c5204df75a15f46302e57ec157e81497425a0,Will the highest temperature in Chicago be 59°F or below on March 21?,2026-03-21,2026-03-20 06:03:03.140460+00:00,0.75,16.4,1.422,8.0,0.222,nwp_table,0.1944,0.0245,0.0245,0.1699,0.1699,Yes,0.1944,0.0245,-0.175,0.0,-0.9,2.1462,0.732,0.0,0.0,False,0.0,0.0,2837.33606,6958.710058999998,0,16.4,0.0,15.0,0.09255,0.08,6.9344,chicago|2026-03-21,,,,,0.1944,1.0,Chicago|1d,False
Chicago,chicago,0x8934d42f07c856be4bbee610bbe1e1ae63b25cdaf629059247f923783dcfe7ea,Will the highest temperature in Chicago be between 42-43°F on March 23?,2026-03-23,2026-03-21 12:03:05.677685+00:00,1.5,3.0,1.2,8.0,0.0,nwp_table,0.0241,0.285,0.285,0.2609,0.2609,No,0.9759,0.715,0.1256,1.3,0.4,2.0649,0.554,0.0,0.0,False,,0.546,1107.7472,382.599581,0,5.833333333333333,-2.83,5.833333333333333,0.079756,0.08,0.3649,chicago|2026-03-23,,,5.556,6.111,0.9759,1.0,Chicago|1d,False
