city,condition_id,token_id,floor_strike,target_date,timestamp_utc,price,fetched_at_utc
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:15:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:16:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:17:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:18:25+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:19:07+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:20:07+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:21:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:22:07+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:23:09+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:24:09+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:25:11+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:26:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:27:07+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:28:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:29:10+00:00,0.005,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:30:11+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:31:09+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:32:12+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:33:10+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:34:07+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:35:08+00:00,0.0045,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:36:11+00:00,0.004,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:37:10+00:00,0.004,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:38:10+00:00,0.004,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:39:10+00:00,0.004,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:40:09+00:00,0.004,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:41:09+00:00,0.0035,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:42:07+00:00,0.0035,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:43:09+00:00,0.0035,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:44:09+00:00,0.0035,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:45:07+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:46:24+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:47:10+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:48:10+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:49:10+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:50:24+00:00,0.003,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:51:10+00:00,0.002,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:52:11+00:00,0.002,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:53:10+00:00,0.002,2026-08-05T16:14:33.968007+00:00
atlanta,0xbfd610d71a18830a6e1d75cf4e97b3472fd7331f653b172cf5f87f68fe8cda27,44733232596013954678193359485755260664369259827514820957580911850278036981693,90.0,2026-08-04,2026-08-04T16:54:10+00:00,0.002,2026-08-05T16:14:33.968007+00:00
