fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-08-04T12:22:11.793266+00:00,Los Angeles,0x9b7b303b0425a2d5860e54bfdcd9ed32feda50b0a6e95bec69c4143eb33b0fc6,Will the highest temperature in Los Angeles be 69°F or below on August 4?,True,False,2026-08-04,2026-08-03,888.9839999999999,448.67,1969.24764,,1785846252003,,0.999,0.001,,6556.19,0.0,0.0539,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""5782632517608310006478423239366946687513882006575409350937659959692529004754"", ""41121930011775150144882127465009837034592428849818675576360442371585226216419""]"
2026-08-04T12:22:11.793311+00:00,Los Angeles,0x70a476c6b6f6067d3cb2ed5ceb5a77546dc97078831ffe90bbf45119d687b1a4,Will the highest temperature in Los Angeles be between 70-71°F on August 4?,True,False,2026-08-04,2026-08-03,2205.36417,657.556186,954.8076,,1785846238845,,0.999,0.001,,13907.13,0.0,0.116652,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""83407017886394734915521899675902275792633425419333338002209971748492250584301"", ""90706685085488796618973760835553694450603066307329366553826235594154584008199""]"
2026-08-04T12:22:11.793327+00:00,Los Angeles,0x9f871f39d88c3217c74f8108cee8f530f832097df5c6f0e35e7008cf0642af13,Will the highest temperature in Los Angeles be between 72-73°F on August 4?,True,False,2026-08-04,2026-08-03,4674.661893,3650.0120349999997,980.75502,,1785846260757,0.022,0.961,0.039,0.978,14631.65,1375.68,0.124565,0.978,"{""Yes"": 0.0305, ""No"": 0.9695}","[""55593015051918026415303121116789955563650141397955781703355833982764141232410"", ""38737835639703500371039230842229264901742260749703390770912883156223018486627""]"
2026-08-04T12:22:11.793339+00:00,Los Angeles,0xa284238d37bdd9daeec55099dc70cb8daf4e1a731500743bce32a6eee11c0cc9,Will the highest temperature in Los Angeles be between 74-75°F on August 4?,True,False,2026-08-04,2026-08-03,7609.395085,5182.524421,1165.0041,,1785846230791,0.06,0.93,0.07,0.94,9211.07,767.47,0.14063,0.94,"{""Yes"": 0.065, ""No"": 0.935}","[""72788496731435794160303029900706411128650464967430237643773985705603846047793"", ""5257185301489088387705845420756166835670898510021863658954731696198444668002""]"
2026-08-04T12:22:11.793351+00:00,Los Angeles,0x9390e3c76a8f6a62a94ffee166d7e5769c74206f39b135c43480609bbf6c3667,Will the highest temperature in Los Angeles be between 76-77°F on August 4?,True,False,2026-08-04,2026-08-03,6176.6038880000015,3355.53514,328.7677,,1785846288887,0.48,0.42,0.58,0.52,5702.06,484.93,0.631304,0.669247,"{""Yes"": 0.53, ""No"": 0.47}","[""99010093923967704215322976431857557201863578818132626696817039388823732809121"", ""30179264824597829379279020523071511998771068960232227394127740869233669797578""]"
2026-08-04T12:22:11.793362+00:00,Los Angeles,0xa42f8ad9a9a439cd6b98f869bbb59bea471437362d41a9894cef31af0c14be48,Will the highest temperature in Los Angeles be between 78-79°F on August 4?,True,False,2026-08-04,2026-08-03,5622.81258,4163.429537,831.2418,,1785846289137,0.27,0.68,0.32,0.73,8393.02,839.16,0.415078,0.748902,"{""Yes"": 0.29, ""No"": 0.71}","[""111608568168796287487868015077895429798403344626919147168539308542096639216933"", ""12438379545379767961305535088124955094309556508677007687304780186225959091781""]"
2026-08-04T12:22:11.793373+00:00,Los Angeles,0xb179fe1602bc5e42d65d734253b79986a9cb2e59f0c363f6cd5b457a786dfd08,Will the highest temperature in Los Angeles be between 80-81°F on August 4?,True,False,2026-08-04,2026-08-03,3711.0374100000004,2492.489179,802.75904,,1785846288899,0.029,0.955,0.045,0.971,14720.64,6910.77,0.187674,0.972958,"{""Yes"": 0.0365, ""No"": 0.9635}","[""33433354364049616195121278194009702866371085324881280901562087011689693973130"", ""21145746115767244317096597848387482605299766639452444605713985007116842851100""]"
2026-08-04T12:22:11.793397+00:00,Los Angeles,0xf11d663225b972f6bcf5e4bb88f4675c1bcaf1a33dfa8f024d2a79f4758ec6c4,Will the highest temperature in Los Angeles be between 82-83°F on August 4?,True,False,2026-08-04,2026-08-03,960.87,628.87,716.02545,,1785846243737,0.001,0.998,0.002,0.999,13749.83,964.79,0.152746,0.999,"{""Yes"": 0.0015, ""No"": 0.9985}","[""112119156055165680608620916551170472812299740015070360077144149177529554423308"", ""19791451204534357085472399995592646407475175660388476707332256200680556554971""]"
2026-08-04T12:22:11.793418+00:00,Los Angeles,0x7416e471ed6525f8d7f2c9d41cd3e55856faeb835ddf2eff42765b5be342c545,Will the highest temperature in Los Angeles be between 84-85°F on August 4?,True,False,2026-08-04,2026-08-03,995.8670000000001,599.87,1730.68556,,1785846069867,,0.999,0.001,,14755.32,0.0,0.07363,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""100125018908855004877802053297708350212251272971298488134795382319809391494885"", ""36200963793837743247866971982579884938766737190710196523068023135498821310792""]"
2026-08-04T12:22:11.793436+00:00,Los Angeles,0x7599f76d8b361d1cc467086431a4604f6a820b1c98f768dd71c620a3753dc9e6,Will the highest temperature in Los Angeles be between 86-87°F on August 4?,True,False,2026-08-04,2026-08-03,217.0,0.0,1567.59391,,1785846272488,,0.999,0.001,,11216.61,0.0,0.06767,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""25501043197622555719117106657882344043514800123329017667388595413330802613099"", ""60763529913756851964740089812323952923069107431767227344588419300949179842863""]"
2026-08-04T12:22:11.793454+00:00,Los Angeles,0x541c054c3a5d0a7992bb65ec851e27d513eb0b2e60e9752afaf051b81ab9b0fd,Will the highest temperature in Los Angeles be 88°F or higher on August 4?,True,False,2026-08-04,2026-08-03,216.99999999999997,0.0,3022.31111,,1785846272493,,0.999,0.001,,4672.55,0.0,0.032704,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""10905049763084443498809312530036941684214515973896898401989857687279656195476"", ""46684851983479036047071180017290009578487061799709510110964788412205445324720""]"
2026-08-04T12:22:11.793471+00:00,Los Angeles,0xf9b89593635bdc8d6f01223d59cb8454a8aa6fd5a607a89da5d13ae7ab70b471,Will the highest temperature in Los Angeles be 67°F or below on August 5?,True,False,2026-08-05,2026-08-04,267.8838,277.8838,6816.10375,,1785846286681,0.001,0.996,0.004,0.999,15470.92,321.65,0.023565,0.999,"{""Yes"": 0.0025, ""No"": 0.9975}","[""105862311488160346151130999738368064452849186865114277697862186525184831368480"", ""96156515202493885468276228755531316837721962370027885913826379065367670268807""]"
2026-08-04T12:22:11.793488+00:00,Los Angeles,0x2c083c592f549177018b98dae5e3e3baa42fbe4c79172ee4bcd483363a46887a,Will the highest temperature in Los Angeles be between 68-69°F on August 5?,True,False,2026-08-05,2026-08-04,108.70580000000001,118.70580000000001,3831.55678,,1785846284354,0.002,0.996,0.004,0.998,29577.43,725.72,0.061749,0.998,"{""Yes"": 0.0035, ""No"": 0.9965}","[""104232886322147792498439881575824971539832071655967155088246476499341616436036"", ""4470262580246989298826208359790966896311959671083329926927960179565277399062""]"
2026-08-04T12:22:11.793510+00:00,Los Angeles,0xa355561ac0353e4f0e33a960536a9beedd55273c2b91ecd898374a121b35692a,Will the highest temperature in Los Angeles be between 70-71°F on August 5?,True,False,2026-08-05,2026-08-04,609.174166,619.174166,4651.996,,1785846286110,0.01,0.983,0.017,0.99,38345.45,1149.97,0.077766,0.993758,"{""Yes"": 0.016, ""No"": 0.984}","[""53173443287591344614602217939497616151780505815339606869533927413918515263340"", ""90129171392219442389954958617221940762958587388862702822070791186624219175788""]"
