fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-14T04:50:28.191788+00:00,Chicago,0xf3c3638a8bc041cca410e693f2ca7bb0006cc824e77595659dc960476c81f135,Will the highest temperature in Chicago be 67°F or below on September 13?,True,False,2026-09-13,2026-09-11,234.9752,95.0,16224.71639,,1789361739448,,0.999,0.001,,255.52,0.0,0.00741,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""26547518202228863324988841395044440691350588333149260110079295616268228028131"", ""52315090668628246863781417419869168928581305612779908930789347952342377824531""]"
2026-09-14T04:50:28.191836+00:00,Chicago,0xd63992dc50f9386e950508c65b99c954e777582dabe8578b380dfa35250b68e0,Will the highest temperature in Chicago be between 68-69°F on September 13?,True,False,2026-09-13,2026-09-11,362.915667,118.60199999999999,16533.33259,,1789361892050,,0.999,0.001,,179.72,0.0,0.007225,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""6966751286998514078053579729795693345318214492848804986077506634784638982132"", ""16435105079173508662487291696508899387358752122155727854302457272468745832222""]"
2026-09-14T04:50:28.191861+00:00,Chicago,0x70d52ba25e520d57335fd3565e7910d58553c24a159cde9c17bea3866997f6c1,Will the highest temperature in Chicago be between 70-71°F on September 13?,True,False,2026-09-13,2026-09-11,14647.303036000001,13626.144304999998,15853.38091,,1789361892294,,0.999,0.001,,192.13,0.0,0.007599,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""20731131106061258032786082752149635097548235125763378918289111170466426409230"", ""70548085300518577804007351688786863110757168464323185259433055635417890340339""]"
2026-09-14T04:50:28.191876+00:00,Chicago,0xf796225d3a8f3e3c781699dc47bda70e8b6c63dc886a0827a13745d9540dce2b,Will the highest temperature in Chicago be between 72-73°F on September 13?,True,False,2026-09-13,2026-09-11,7412.33646,6404.636743999999,18368.23265,,1789361892548,,0.999,0.001,,135.73,0.0,0.006376,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""94134388731155251205700341987053277705360449974090652227308012522036107554031"", ""17401425575609663131708207319820936519169503361908537763241241319891871272277""]"
2026-09-14T04:50:28.191891+00:00,Chicago,0xda254b268984ac6f3c643c401137ec9d65281ad9350acab88db4278f4637571e,Will the highest temperature in Chicago be between 74-75°F on September 13?,True,False,2026-09-13,2026-09-11,6662.36226,4867.816954999998,7291.58448,,1789360507071,0.999,,,0.001,0.0,9049.7,,0.013602,"{""Yes"": 0.9995, ""No"": 0.0005}","[""38210492403371093681415622764034372801844713235412494491547494932044380552484"", ""74379084430660121042894849471399902080465014157803998386856473575091520825999""]"
2026-09-14T04:50:28.191906+00:00,Chicago,0x3a77a8d42c5b31bd6c55bfeab88b566acef8b4117a6bc78fdd3ba69ba827c92e,Will the highest temperature in Chicago be between 76-77°F on September 13?,True,False,2026-09-13,2026-09-11,4690.1621129999985,3526.9979050000006,8320.14684,,1789361892976,,0.999,0.001,,8554.13,0.0,0.01237,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""72162518513556869030390962984444729422271623467908878616171890275925711400507"", ""79119595527933953625235687286388067010914820272224143405510000287368564020528""]"
2026-09-14T04:50:28.191919+00:00,Chicago,0xa48496f3f81d03fa95aa686f3da44f112ea160b33a1065b721ae0104edfc2ecd,Will the highest temperature in Chicago be between 78-79°F on September 13?,True,False,2026-09-13,2026-09-11,2725.626405,2401.831339,9227.29218,,1789361786657,,0.999,0.001,,8549.77,0.0,0.011182,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""27749405983008421273892764090062368548759969273375624439524683326141265607235"", ""111041522962681212770129554302915474272056598159118157951520117581414475354410""]"
2026-09-14T04:50:28.191933+00:00,Chicago,0xb6f45e8c1220a26ca24dad1fb6b5c204432cd462274fee351a0d05ccc1283c85,Will the highest temperature in Chicago be between 80-81°F on September 13?,True,False,2026-09-13,2026-09-11,724.8504999999999,592.654,9280.19828,,1789361747223,,0.999,0.001,,8523.74,0.0,0.011108,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""110700786187351978210088460197082435011486635995636547093729073119290140963918"", ""70511410084635817280022118468206644749251475047954359878274443707329287116789""]"
2026-09-14T04:50:28.191947+00:00,Chicago,0xf143918e4e5cad923615b8021839188a89a3f49c59958e78e0d4c738d25bdb4e,Will the highest temperature in Chicago be between 82-83°F on September 13?,True,False,2026-09-13,2026-09-11,324.989,0.0,15141.8691,,1789361461001,,0.999,0.001,,89.82,0.0,,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""98120142933511013899138151282915738422027759994933113810364729251753029640797"", ""72277672660672791535305324751392873190535635876192806149090782578344935578332""]"
2026-09-14T04:50:28.191961+00:00,Chicago,0xf796aaf84598f5490fb29047e5a8e11d463ab5409e11c08118b7607d53df0353,Will the highest temperature in Chicago be between 84-85°F on September 13?,True,False,2026-09-13,2026-09-11,124.991,0.0,16134.24058,,1789361847214,,0.999,0.001,,303.69,0.0,0.006299,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""20884668678595774819816805821323235265557281387676215244283368817753593795708"", ""9327090102484257840030941077797557270178015728718670503146262561178338926009""]"
