fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-05T04:21:54.968928+00:00,New York City,0x1218fadb6e1a5dffefc1e5a2109fa823f0ff4c56bed092be5206effb234b4246,Will the lowest temperature in New York City be 63°F or below on September 4?,True,False,2026-09-04,2026-09-02,666.9451809999999,255.17000000000002,1508.3685,,1788581159384,,0.999,0.001,,326.13,0.0,0.062246,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""77853596037777749479774029565206824007126519204059118315626005853182687428270"", ""77930193647682218869393014745171636297367775326416494586065089178318423198027""]"
2026-09-05T04:21:54.968973+00:00,New York City,0x0816d7c08da3cbc6744ddae77741784e9065f32456ee8e86526989c9d223f896,Will the lowest temperature in New York City be between 64-65°F on September 4?,True,False,2026-09-04,2026-09-02,212.20999999999998,67.21,1484.9295,,1788582572600,,0.999,0.001,,275.93,0.0,0.064223,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""85733415134953150388938962945733593272830555272447443343760689574177417474359"", ""9004060719063164696730934081662036939701968819625854516398335930857199896039""]"
2026-09-05T04:21:54.968998+00:00,New York City,0x67a5aa0bd319627b63b6df7a1bfbd524c5c6210bb7e816921a6017006d5349d3,Will the lowest temperature in New York City be between 66-67°F on September 4?,True,False,2026-09-04,2026-09-02,290.03000000000003,219.82,1651.49118,,1788581372867,,0.999,0.001,,100.02,0.0,0.057094,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""42028106449078471770441255436181544205033191443393390579344859426011819812191"", ""40547424604499925413148210781790511637407272496342627280651927795528269456224""]"
2026-09-05T04:21:54.969021+00:00,New York City,0x0e1a7ad09e89dd523310d6da2d956d0b7175e4b1a70005d855fa032ba015b00f,Will the lowest temperature in New York City be between 68-69°F on September 4?,True,False,2026-09-04,2026-09-02,473.564466,378.36429999999996,819.11631,,1788581512598,,0.994,0.006,,147.88,0.0,0.108806,,"{""Yes"": 0.003, ""No"": 0.997}","[""91036086938282292615147032821603303929538748833610033304261064198820008731555"", ""79222072304327167332931982187328863732774316326277024124477109345521389905003""]"
2026-09-05T04:21:54.969044+00:00,New York City,0x71ec1252ec1bfb799810b5b760000ec3296623d857accbe620b45a3f1dfd7c7e,Will the lowest temperature in New York City be between 70-71°F on September 4?,True,False,2026-09-04,2026-09-02,444.975814,240.35547499999998,653.4994,,1788582652600,,0.993,0.007,,135.62,0.0,0.131682,,"{""Yes"": 0.0035, ""No"": 0.9965}","[""18158215624884496674858280635794673613810941962293817401572864308277661232470"", ""111264839017155001505269587657951406427346307621572574175214983845521434492805""]"
2026-09-05T04:21:54.969067+00:00,New York City,0x227e48e64d26aaad0c5e28e0dd32ae597334f658ff7fae30ce6468c21c0a1a66,Will the lowest temperature in New York City be between 72-73°F on September 4?,True,False,2026-09-04,2026-09-02,1260.183146,599.5184800000001,911.61705,,1788582629338,0.001,0.992,0.008,0.999,147.74,42.63,0.101036,,"{""Yes"": 0.0045, ""No"": 0.9955}","[""4652722766101175034128022203559732860022507275165850371099186875776320307572"", ""81877116327848030570675962299479832201536058156247245813751092999493418195066""]"
2026-09-05T04:21:54.969089+00:00,New York City,0x1ef262e292ca56ca393e4e931539b4311cb199c9b9d97cadaabb4c23763fd612,Will the lowest temperature in New York City be between 74-75°F on September 4?,True,False,2026-09-04,2026-09-02,1332.552755,583.070073,1168.5757,,1788582629548,0.001,0.993,0.007,0.999,237.52,79.92,0.078883,,"{""Yes"": 0.004, ""No"": 0.996}","[""62930045442357077799708216002474726030676342023953455458909476031153115664177"", ""68663561862154832571961071282433131312070633795887947849505963276707477360858""]"
2026-09-05T04:21:54.969110+00:00,New York City,0x2787b95def5f0e3b526dad7a92834e1f95403a19775ffb3ff25c167a9beac223,Will the lowest temperature in New York City be between 76-77°F on September 4?,True,False,2026-09-04,2026-09-02,1263.228083,833.3224739999998,897.8331,,1788581866124,0.991,0.001,0.999,0.009,109.89,659.09,0.999,0.10262,"{""Yes"": 0.995, ""No"": 0.005}","[""95120981243857238788094696511673027560790240505219005939315807555489028989715"", ""110947694649947027246121947329487033197899527393156785149128390996824942870156""]"
2026-09-05T04:21:54.969132+00:00,New York City,0xd21ae0679c974eaf9ec23019664eca653dc44f1b38fa986803b2b77950892263,Will the lowest temperature in New York City be between 78-79°F on September 4?,True,False,2026-09-04,2026-09-02,1181.127192,931.85,4542.98343,,1788581382604,,0.999,0.001,,227.06,0.0,0.021538,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""50988524441916533641514540454346127502552119137145942456072643469286700052030"", ""70588556675849989614681493856827469500027393889107797344148747712337590942023""]"
2026-09-05T04:21:54.969154+00:00,New York City,0x33c10adfd3c8601c98abba9afc3c91e1fea30f5bcffcf636d1f2d7ba4b853708,Will the lowest temperature in New York City be between 80-81°F on September 4?,True,False,2026-09-04,2026-09-02,160.0,84.82,4499.42172,,1788581252681,,0.999,0.001,,342.91,0.0,0.021753,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""107602488743778527777718504410990932697930343141526801931167780115241792639683"", ""31819274591815615854729090732999903330426907223273713109180106501573449895853""]"
